candidate,election_name,precinct,votes,total_possible_votes,registered_votes_pct,total_votes_cast,cast_votes_pct
"total,election,vote",pct_pct_pct_pct_pct_pct,pct_1,1,2856,0.0350140056022409,1,100
"total,election,vote",pct_pct_pct_pct_pct_pct,pct_2,2,2844,0.07032348804500703,2,100
"total,election,vote",pct_pct_pct_pct_pct_pct,pct_3,3,2653,0.11307953260459858,3,100
"total,election,vote",pct_pct_pct_pct_pct_pct,pct_4,4,2964,0.1349527665317139,4,100
"total,election,vote",pct_pct_pct_pct_pct_pct,pct_5,5,2795,0.17889087656529518,5,100
"total,election,vote",pct_pct_pct_pct_pct_pct,pct_6,6,2535,0.2366863905325444,6,100
"hand,count",election_day_386_419_410_482_397_358_2452_14_73_percent,pct_1,14,2856,0.49019607843137253,2359,0.5934718100890208
"hand,count",election_day_386_419_410_482_397_358_2452_14_73_percent,pct_2,7,2844,0.24613220815752462,4289,0.16320820704126837
"hand,count",election_day_386_419_410_482_397_358_2452_14_73_percent,pct_3,4,2653,0.15077271013946475,4312,0.0927643784786642
"hand,count",election_day_386_419_410_482_397_358_2452_14_73_percent,pct_4,19,2964,0.641025641025641,4450,0.4269662921348315
"hand,count",election_day_386_419_410_482_397_358_2452_14_73_percent,pct_5,16,2795,0.5724508050089445,4458,0.3589053387169134
"hand,count",election_day_386_419_410_482_397_358_2452_14_73_percent,pct_6,11,2535,0.4339250493096647,4061,0.2708692440285644
uocava,election_day_386_419_410_482_397_358_2452_14_73_percent,pct_1,35,2856,1.2254901960784315,2359,1.483679525222552
uocava,election_day_386_419_410_482_397_358_2452_14_73_percent,pct_2,23,2844,0.8087201125175809,4289,0.5362555374213103
uocava,election_day_386_419_410_482_397_358_2452_14_73_percent,pct_3,25,2653,0.9423294383716547,4312,0.5797773654916512
uocava,election_day_386_419_410_482_397_358_2452_14_73_percent,pct_4,17,2964,0.5735492577597842,4450,0.3820224719101124
uocava,election_day_386_419_410_482_397_358_2452_14_73_percent,pct_5,35,2795,1.2522361359570662,4458,0.785105428443248
uocava,election_day_386_419_410_482_397_358_2452_14_73_percent,pct_6,28,2535,1.1045364891518739,4061,0.6894853484363458
"advanced,processing",election_day_386_419_410_482_397_358_2452_14_73_percent,pct_1,13,2856,0.4551820728291317,2359,0.5510809665112336
"advanced,processing",election_day_386_419_410_482_397_358_2452_14_73_percent,pct_2,1802,2844,63.36146272855133,4289,42.01445558405223
"advanced,processing",election_day_386_419_410_482_397_358_2452_14_73_percent,pct_3,1952,2653,73.5770825480588,4312,45.26901669758813
"advanced,processing",election_day_386_419_410_482_397_358_2452_14_73_percent,pct_4,1832,2964,61.80836707152496,4450,41.168539325842694
"advanced,processing",election_day_386_419_410_482_397_358_2452_14_73_percent,pct_5,1988,2795,71.12701252236135,4458,44.59398833557649
"advanced,processing",election_day_386_419_410_482_397_358_2452_14_73_percent,pct_6,1909,2535,75.30571992110454,4061,47.00812607732085
"post,election,ballots",election_day_386_419_410_482_397_358_2452_14_73_percent,pct_1,30,2856,1.050420168067227,2359,1.2717253073336159
"post,election,ballots",election_day_386_419_410_482_397_358_2452_14_73_percent,pct_2,28,2844,0.9845288326300985,4289,0.6528328281650735
"post,election,ballots",election_day_386_419_410_482_397_358_2452_14_73_percent,pct_3,30,2653,1.1307953260459858,4312,0.6957328385899815
"post,election,ballots",election_day_386_419_410_482_397_358_2452_14_73_percent,pct_4,38,2964,1.282051282051282,4450,0.853932584269663
"post,election,ballots",election_day_386_419_410_482_397_358_2452_14_73_percent,pct_5,31,2795,1.10912343470483,4458,0.6953790937640197
"post,election,ballots",election_day_386_419_410_482_397_358_2452_14_73_percent,pct_6,24,2535,0.9467455621301776,4061,0.5909874415168678
"total,voted",election_day_386_419_410_482_397_358_2452_14_73_percent,pct_1,2267,2856,79.37675070028011,2359,96.10004239084358
"total,voted",election_day_386_419_410_482_397_358_2452_14_73_percent,pct_2,2429,2844,85.40787623066105,4289,56.63324784332012
"total,voted",election_day_386_419_410_482_397_358_2452_14_73_percent,pct_3,2301,2653,86.73200150772709,4312,53.36270871985158
"total,voted",election_day_386_419_410_482_397_358_2452_14_73_percent,pct_4,2544,2964,85.82995951417004,4450,57.168539325842694
"total,voted",election_day_386_419_410_482_397_358_2452_14_73_percent,pct_5,2388,2795,85.43828264758497,4458,53.566621803499324
"total,voted",election_day_386_419_410_482_397_358_2452_14_73_percent,pct_6,2089,2535,82.40631163708086,4061,51.44053188869736
"totalregistered,voters",total_registered_voters_2856_2844_2653_2964_2795_2535_16647,pct_1,2856,2856,100,2856,100
"totalregistered,voters",total_registered_voters_2856_2844_2653_2964_2795_2535_16647,pct_2,2844,2844,100,2844,100
"totalregistered,voters",total_registered_voters_2856_2844_2653_2964_2795_2535_16647,pct_3,2653,2653,100,2653,100
"totalregistered,voters",total_registered_voters_2856_2844_2653_2964_2795_2535_16647,pct_4,2964,2964,100,2964,100
"totalregistered,voters",total_registered_voters_2856_2844_2653_2964_2795_2535_16647,pct_5,2795,2795,100,2795,100
"totalregistered,voters",total_registered_voters_2856_2844_2653_2964_2795_2535_16647,pct_6,2535,2535,100,2535,100
blank,electors_of_president_and_vice_president,pct_1,16,2856,0.5602240896358543,2267,0.7057785619761799
blank,electors_of_president_and_vice_president,pct_2,21,2844,0.7383966244725738,2429,0.8645533141210375
blank,electors_of_president_and_vice_president,pct_3,18,2653,0.6784771956275913,2301,0.7822685788787485
blank,electors_of_president_and_vice_president,pct_4,12,2964,0.4048582995951417,2544,0.4716981132075472
blank,electors_of_president_and_vice_president,pct_5,14,2795,0.5008944543828265,2388,0.5862646566164154
