candidate,election_name,precinct,votes,total_possible_votes,registered_votes_pct,total_votes_cast,cast_votes_pct
"vote,count,pct",town_of_acton_final,pct_1,1,2620,0.03816793893129771,8423,0.011872254541137363
"vote,count,pct",town_of_acton_final,pct_2,2,2611,0.07659900421294523,8914,0.02243661655822302
"vote,count,pct",town_of_acton_final,pct_3,3,2583,0.11614401858304298,23771,0.012620419839299988
"vote,count,pct",town_of_acton_final,pct_4,4,2703,0.14798372179060304,23888,0.016744809109176154
"vote,count,pct",town_of_acton_final,pct_5,5,2606,0.19186492709132769,26315,0.019000570017100513
"vote,count,pct",town_of_acton_final,pct_6,6,2336,0.2568493150684931,25494,0.02353494939985879
"machine,totalfinal",town_of_acton_final,pct_1,2064,2620,78.77862595419847,8423,24.504333372907517
"machine,totalfinal",town_of_acton_final,pct_2,2190,2611,83.87590961317503,8914,24.568095131254207
"machine,totalfinal",town_of_acton_final,pct_3,2200,2583,85.17228029423151,23771,9.254974548819991
"machine,totalfinal",town_of_acton_final,pct_4,2269,2703,83.94376618571957,23888,9.498492967180173
"machine,totalfinal",town_of_acton_final,pct_5,2140,2606,82.11818879508826,26315,8.13224396731902
"machine,totalfinal",town_of_acton_final,pct_6,1908,2336,81.67808219178082,25494,7.484113909155095
"hand,count",town_of_acton_final,pct_1,10,2620,0.38167938931297707,8423,0.11872254541137363
"hand,count",town_of_acton_final,pct_2,13,2611,0.49789352738414405,8914,0.14583800762844962
"hand,count",town_of_acton_final,pct_3,10,2583,0.38714672861014326,23771,0.04206806613099996
"hand,count",town_of_acton_final,pct_4,25,2703,0.92489826119126906,23888,0.10465505693235098
"hand,count",town_of_acton_final,pct_5,6,2606,0.23023791250959325,26315,0.022800684020520615
"hand,count",town_of_acton_final,pct_6,10,2336,0.4280821917808219,25494,0.03922491566643131
"provisional,ballots",town_of_acton_final,pct_1,0,2620,0,8423,0
"provisional,ballots",town_of_acton_final,pct_2,0,2611,0,8914,0
"provisional,ballots",town_of_acton_final,pct_3,0,2583,0,23771,0
"provisional,ballots",town_of_acton_final,pct_4,0,2703,0,23888,0
"provisional,ballots",town_of_acton_final,pct_5,0,2606,0,26315,0
"provisional,ballots",town_of_acton_final,pct_6,0,2336,0,25494,0
"overseas,ballots",town_of_acton_final,pct_1,10,2620,0.38167938931297707,8423,0.11872254541137363
"overseas,ballots",town_of_acton_final,pct_2,25,2611,0.9574875526618154,8914,0.28045770697778777
"overseas,ballots",town_of_acton_final,pct_3,25,2583,0.9678668215253582,23771,0.1051701653274999
"overseas,ballots",town_of_acton_final,pct_4,18,2703,0.6659267480577136,23888,0.0753516409912927
"overseas,ballots",town_of_acton_final,pct_5,21,2606,0.8058326937835764,26315,0.07980239407182216
"overseas,ballots",town_of_acton_final,pct_6,23,2336,0.9845890410958904,25494,0.09021730603279203
"total,voted",town_of_acton_final,pct_1,2084,2620,79.54198473282442,8423,24.741778463730263
"total,voted",town_of_acton_final,pct_2,2228,2611,85.33129069322098,8914,24.994390845860444
"total,voted",town_of_acton_final,pct_3,2235,2583,86.52729384436701,23771,9.402212780278491
"total,voted",town_of_acton_final,pct_4,2312,2703,85.53459119496856,23888,9.678499665103818
"total,voted",town_of_acton_final,pct_5,2167,2606,83.15425940138142,26315,8.234847045411362
"total,voted",town_of_acton_final,pct_6,1941,2336,83.09075342465754,25494,7.6135561308543185
"totalregistered,voters",total_registered_voters_2620_2611_2583_2703_2606_2336_15459,pct_1,2620,2620,100,2620,100
"totalregistered,voters",total_registered_voters_2620_2611_2583_2703_2606_2336_15459,pct_2,2611,2611,100,2611,100
"totalregistered,voters",total_registered_voters_2620_2611_2583_2703_2606_2336_15459,pct_3,2583,2583,100,2583,100
"totalregistered,voters",total_registered_voters_2620_2611_2583_2703_2606_2336_15459,pct_4,2703,2703,100,2703,100
"totalregistered,voters",total_registered_voters_2620_2611_2583_2703_2606_2336_15459,pct_5,2606,2606,100,2606,100
"totalregistered,voters",total_registered_voters_2620_2611_2583_2703_2606_2336_15459,pct_6,2336,2336,100,2336,100
blank,electors_of_president_and_vice_president,pct_1,37,2620,1.4122137404580153,2084,1.7754318618042226
blank,electors_of_president_and_vice_president,pct_2,33,2611,1.2638835695135964,2228,1.481149012567325
blank,electors_of_president_and_vice_president,pct_3,29,2583,1.1227255129694156,2235,1.2975391498881432
