candidate,election_name,candidate_name,precinct,votes,total_possible_votes,registered_votes_pct,total_votes_cast,cast_votes_pct
"terra,friedrichs",library_trustee_1_yr_term,Terra,pct_7,28,2038,1.3738959764474974,189,14.814814814814813
"annette,m.,lochrie",library_trustee_1_yr_term,Annette,pct_1,38,1890,2.0105820105820107,130,29.230769230769234
"annette,m.,lochrie",library_trustee_1_yr_term,Annette,pct_2,94,2346,4.0068201193520885,288,32.63888888888889
"annette,m.,lochrie",library_trustee_1_yr_term,Annette,pct_3,195,2582,7.5522850503485675,531,36.72316384180791
"annette,m.,lochrie",library_trustee_1_yr_term,Annette,pct_4,151,2383,6.336550566512798,387,39.01808785529715
"annette,m.,lochrie",library_trustee_1_yr_term,Annette,pct_5,108,2384,4.530201342281879,333,32.432432432432435
"annette,m.,lochrie",library_trustee_1_yr_term,Annette,pct_6,101,2343,4.310712761416987,326,30.981595092024538
"annette,m.,lochrie",library_trustee_1_yr_term,Annette,pct_7,49,2038,2.4043179587831207,189,25.925925925925924
"eric,schlesinger",library_trustee_1_yr_term,Eric,pct_1,50,1890,2.6455026455026456,130,38.46153846153847
"eric,schlesinger",library_trustee_1_yr_term,Eric,pct_2,97,2346,4.134697357203751,288,33.68055555555556
"eric,schlesinger",library_trustee_1_yr_term,Eric,pct_3,201,2582,7.784663051897754,531,37.85310734463277
"eric,schlesinger",library_trustee_1_yr_term,Eric,pct_4,130,2383,5.455308434746119,387,33.59173126614987
"eric,schlesinger",library_trustee_1_yr_term,Eric,pct_5,104,2384,4.3624161073825505,333,31.23123123123123
"eric,schlesinger",library_trustee_1_yr_term,Eric,pct_6,117,2343,4.99359795134443,326,35.88957055214724
"eric,schlesinger",library_trustee_1_yr_term,Eric,pct_7,74,2038,3.631010794896958,189,39.15343915343915
"write,in",library_trustee_1_yr_term,Write,pct_1,3,1890,0.15873015873015872,130,2.307692307692308
"write,in",library_trustee_1_yr_term,Write,pct_2,5,2346,0.2131287297527707,288,1.7361111111111112
"write,in",library_trustee_1_yr_term,Write,pct_3,4,2582,0.1549186676994578,531,0.7532956685499058
"write,in",library_trustee_1_yr_term,Write,pct_4,3,2383,0.1258917331095258,387,0.7751937984496124
"write,in",library_trustee_1_yr_term,Write,pct_5,4,2384,0.16778523489932887,333,1.2012012012012012
"write,in",library_trustee_1_yr_term,Write,pct_6,2,2343,0.08536064874093044,326,0.6134969325153374
"write,in",library_trustee_1_yr_term,Write,pct_7,4,2038,0.19627085377821393,189,2.1164021164021163
blank,water_district_clerk,Blanks,pct_1,111,1890,5.873015873015873,130,85.38461538461539
blank,water_district_clerk,Blanks,pct_2,267,2346,11.381074168797953,292,91.43835616438356
blank,water_district_clerk,Blanks,pct_3,449,2582,17.389620449264136,531,84.55743879472693
blank,water_district_clerk,Blanks,pct_4,331,2383,13.890054553084347,387,85.52971576227391
blank,water_district_clerk,Blanks,pct_5,300,2384,12.583892617449665,333,90.09009009009009
blank,water_district_clerk,Blanks,pct_6,298,2343,12.718736662398634,326,91.41104294478528
blank,water_district_clerk,Blanks,pct_7,169,2038,8.292443572129539,189,89.41798941798942
"write,in",water_district_clerk,Write,pct_1,19,1890,1.0052910052910053,130,14.615384615384617
"write,in",water_district_clerk,Write,pct_2,25,2346,1.0656436487638534,292,8.561643835616438
"write,in",water_district_clerk,Write,pct_3,15,2582,0.5809450038729667,531,2.824858757062147
"write,in",water_district_clerk,Write,pct_4,41,2383,1.7205203524968526,387,10.594315245478036
"write,in",water_district_clerk,Write,pct_5,33,2384,1.3842281879194631,333,9.90990990990991
"write,in",water_district_clerk,Write,pct_6,28,2343,1.195049082373026,326,8.588957055214724
"write,in",water_district_clerk,Write,pct_7,20,2038,0.9813542688910697,189,10.582010582010582
"william,stanford",water_district_clerk,William,pct_1,0,1890,0,130,0
"william,stanford",water_district_clerk,William,pct_2,0,2346,0,292,0
"william,stanford",water_district_clerk,William,pct_3,67,2582,2.5948876839659176,531,12.617702448210924
"william,stanford",water_district_clerk,William,pct_4,15,2383,0.629458665547629,387,3.875968992248062
"william,stanford",water_district_clerk,William,pct_5,0,2384,0,333,0
"william,stanford",water_district_clerk,William,pct_6,0,2343,0,326,0
"william,stanford",water_district_clerk,William,pct_7,0,2038,0,189,0
blank,water_district_commissioner,Blanks,pct_1,16,1890,0.8465608465608466,130,12.307692307692308
blank,water_district_commissioner,Blanks,pct_2,70,2346,2.9838022165387894,292,23.972602739726025
blank,water_district_commissioner,Blanks,pct_3,123,2582,4.763749031758327,531,23.163841807909606
blank,water_district_commissioner,Blanks,pct_4,93,2383,3.9026437263953,387,24.031007751937985
