candidate,election_name,precinct,votes,total_possible_votes,registered_votes_pct,total_votes_cast,cast_votes_pct
"machine,totalfinal",vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent,pct_1,8,2304,0.3472222222222222,1911,0.4186289900575615
"machine,totalfinal",vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent,pct_2,0,2345,0,2014,0
"machine,totalfinal",vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent,pct_3,1817,2462,73.80178716490659,7876,23.070086338242763
"machine,totalfinal",vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent,pct_4,1942,2551,76.12700901607214,7908,24.557410217501264
"machine,totalfinal",vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent,pct_5,2124,2511,84.58781362007169,8901,23.86248736097068
"machine,totalfinal",vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent,pct_6,2122,2230,95.15695067264573,8451,25.10945450242575
"hand,count",vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent,pct_1,11,2304,0.4774305555555556,1911,0.5756148613291471
"hand,count",vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent,pct_2,13,2345,0.5543710021321961,2014,0.6454816285998014
"hand,count",vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent,pct_3,1,2462,0.04061738424045491,7876,0.012696800406297611
"hand,count",vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent,pct_4,1,2551,0.03920031360250882,7908,0.012645422357106728
"hand,count",vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent,pct_5,4,2511,0.15929908403026682,8901,0.044938770924615214
"hand,count",vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent,pct_6,11,2230,0.49327354260089684,8451,0.1301621109927819
overseas,vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent,pct_1,17,2304,0.7378472222222222,1911,0.8895866038723181
overseas,vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent,pct_2,23,2345,0.9808102345415779,2014,1.1420059582919564
overseas,vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent,pct_3,18,2462,0.7311129163281885,7876,0.22854240731335704
overseas,vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent,pct_4,26,2551,1.0192081536652293,7908,0.3287809812847749
overseas,vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent,pct_5,11,2511,0.43807248108323377,8901,0.12358162004269184
overseas,vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent,pct_6,24,2230,1.0762331838565022,8451,0.2839900603478878
"total,voted",vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent,pct_1,1845,2304,80.078125,1911,96.54631083202511
"total,voted",vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent,pct_2,1978,2345,84.3496801705757,2014,98.21251241310824
"total,voted",vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent,pct_3,2143,2462,87.04305442729489,7876,27.209243270695783
"total,voted",vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent,pct_4,2149,2551,84.24147393179146,7908,27.17501264542236
"total,voted",vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent,pct_5,2071,2511,82.47710075667065,8901,23.267048646219525
"total,voted",vote_count_pct_1_pct_2_pct_3_pct4_pct5_pct6_total_percent,pct_6,1836,2230,82.33183856502242,8451,21.72523961661342
"totalregistered,voters",total_registered_voters_2304_2345_2462_2551_2511_2230_14403,pct_1,2304,2304,100,2304,100
"totalregistered,voters",total_registered_voters_2304_2345_2462_2551_2511_2230_14403,pct_2,2345,2345,100,2345,100
"totalregistered,voters",total_registered_voters_2304_2345_2462_2551_2511_2230_14403,pct_3,2462,2462,100,2462,100
"totalregistered,voters",total_registered_voters_2304_2345_2462_2551_2511_2230_14403,pct_4,2551,2551,100,2551,100
"totalregistered,voters",total_registered_voters_2304_2345_2462_2551_2511_2230_14403,pct_5,2511,2511,100,2511,100
"totalregistered,voters",total_registered_voters_2304_2345_2462_2551_2511_2230_14403,pct_6,2230,2230,100,2230,100
blanks,elector_s_of_pr_esident_and_vice_pr_esident,pct_1,8,2304,0.3472222222222222,1845,0.43360433604336046
blanks,elector_s_of_pr_esident_and_vice_pr_esident,pct_2,4,2345,0.17057569296375266,1978,0.20222446916076847
blanks,elector_s_of_pr_esident_and_vice_pr_esident,pct_3,8,2462,0.3249390739236393,2143,0.3733084461035931
blanks,elector_s_of_pr_esident_and_vice_pr_esident,pct_4,6,2551,0.2352018816150529,2149,0.2791996277338297
blanks,elector_s_of_pr_esident_and_vice_pr_esident,pct_5,8,2511,0.31859816806053365,2071,0.386286817962337
blanks,elector_s_of_pr_esident_and_vice_pr_esident,pct_6,5,2230,0.2242152466367713,1836,0.27233115468409586
