candidate,election_name,candidate_name,precinct,votes,total_possible_votes,registered_votes_pct,total_votes_cast,cast_votes_pct,ward,wp_distric,wp_name,town,town_id,pop_2020,area_miles,perimeter,shape_area,shape_len
blank,moderator,Blanks,1,15,1890,0.793650793650794,130,11.5384615384615,,"1",Acton Precinct 1,ACTON,"2",3457,2.20000005,7.86999989,5690555.89727,12667.5725015
blank,moderator,Blanks,2,55,2346,2.34441602728048,292,18.8356164383562,,"2",Acton Precinct 2,ACTON,"2",3344,3.72000003,10.21000004,9639979.63048,16439.4488578
blank,moderator,Blanks,3,93,2582,3.60185902401239,531,17.5141242937853,,"3",Acton Precinct 3,ACTON,"2",3585,2.13000011,7.03000021,5510891.39562,11313.8060786
blank,moderator,Blanks,4,68,2383,2.85354595048259,387,17.5710594315245,,"4",Acton Precinct 4,ACTON,"2",3434,2.77999997,7.01999998,7197528.9734,11303.6206045
blank,moderator,Blanks,5,37,2384,1.55201342281879,333,11.1111111111111,,"5",Acton Precinct 5,ACTON,"2",3516,2.94000006,7.53999996,7604337.19163,12141.3925561
blank,moderator,Blanks,6,57,2343,2.43277848911652,326,17.4846625766871,,"6",Acton Precinct 6,ACTON,"2",3316,3.28999996,9.59000015,8510541.56807,15440.2386749
blank,moderator,Blanks,7,33,2038,1.61923454367027,189,17.4603174603175,,"7",Acton Precinct 7,ACTON,"2",3369,3.25,9.77000046,8412192.34646,15726.0660266
"joann,m.,berry",moderator,Joann,1,114,1890,6.03174603174603,130,87.6923076923077,,"1",Acton Precinct 1,ACTON,"2",3457,2.20000005,7.86999989,5690555.89727,12667.5725015
"joann,m.,berry",moderator,Joann,2,236,2346,10.0596760443308,292,80.8219178082192,,"2",Acton Precinct 2,ACTON,"2",3344,3.72000003,10.21000004,9639979.63048,16439.4488578
"joann,m.,berry",moderator,Joann,3,434,2582,16.8086754453912,531,81.7325800376648,,"3",Acton Precinct 3,ACTON,"2",3585,2.13000011,7.03000021,5510891.39562,11313.8060786
"joann,m.,berry",moderator,Joann,4,319,2383,13.3864876206462,387,82.4289405684755,,"4",Acton Precinct 4,ACTON,"2",3434,2.77999997,7.01999998,7197528.9734,11303.6206045
"joann,m.,berry",moderator,Joann,5,293,2384,12.2902684563758,333,87.987987987988,,"5",Acton Precinct 5,ACTON,"2",3516,2.94000006,7.53999996,7604337.19163,12141.3925561
"joann,m.,berry",moderator,Joann,6,267,2343,11.3956466069142,326,81.9018404907976,,"6",Acton Precinct 6,ACTON,"2",3316,3.28999996,9.59000015,8510541.56807,15440.2386749
"joann,m.,berry",moderator,Joann,7,155,2038,7.60549558390579,189,82.010582010582,,"7",Acton Precinct 7,ACTON,"2",3369,3.25,9.77000046,8412192.34646,15726.0660266
"write,in",moderator,Write,1,1,1890,0.0529100529100529,130,0.769230769230769,,"1",Acton Precinct 1,ACTON,"2",3457,2.20000005,7.86999989,5690555.89727,12667.5725015
"write,in",moderator,Write,2,1,2346,0.0426257459505541,292,0.342465753424658,,"2",Acton Precinct 2,ACTON,"2",3344,3.72000003,10.21000004,9639979.63048,16439.4488578
"write,in",moderator,Write,3,4,2582,0.154918667699458,531,0.753295668549906,,"3",Acton Precinct 3,ACTON,"2",3585,2.13000011,7.03000021,5510891.39562,11313.8060786
"write,in",moderator,Write,4,0,2383,0,387,0,,"4",Acton Precinct 4,ACTON,"2",3434,2.77999997,7.01999998,7197528.9734,11303.6206045
"write,in",moderator,Write,5,3,2384,0.125838926174497,333,0.900900900900901,,"5",Acton Precinct 5,ACTON,"2",3516,2.94000006,7.53999996,7604337.19163,12141.3925561
"write,in",moderator,Write,6,2,2343,0.0853606487409304,326,0.613496932515337,,"6",Acton Precinct 6,ACTON,"2",3316,3.28999996,9.59000015,8510541.56807,15440.2386749
"write,in",moderator,Write,7,1,2038,0.0490677134445535,189,0.529100529100529,,"7",Acton Precinct 7,ACTON,"2",3369,3.25,9.77000046,8412192.34646,15726.0660266
