candidate,election_name,precinct,votes,total_possible_votes,registered_votes_pct,total_votes_cast,cast_votes_pct
scattered,blanks_overvote_undervote_percent,pct_6,7,1602,0.4369538077403246,1090,0.6422018348623854
scattered,blanks_overvote_undervote_percent,pct_6a,0,740,0,0,NA
scattered,blanks_overvote_undervote_percent,pct_7,0,2074,0,1224,0
blanks,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_1,0,1930,0,47,0
blanks,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_2,0,2317,0,45,0
blanks,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_3,335,2581,12.979465323518017,1842,18.18675352877307
blanks,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_4,289,2368,12.204391891891891,1636,17.665036674816626
blanks,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_5,290,2399,12.08837015423093,1633,17.758726270667484
blanks,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_6,0,1602,0,47,0
blanks,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_6a,74,740,10,479,15.44885177453027
blanks,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_7,0,2074,0,55,0
danillo,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_1,0,1930,0,47,0
danillo,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_2,0,2317,0,45,0
danillo,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_3,1438,2581,55.71483920960868,1842,78.06731813246472
danillo,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_4,1286,2368,54.307432432432435,1636,78.60635696821517
danillo,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_5,1274,2399,53.10546060858691,1633,78.01592161665646
danillo,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent,pct_6,0,1602,0,47,0
